Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;Y09;14943;Patel, Dharmini R.;;10.5%;;;5.3%;21.1%;;10.5%;5.3%;5.3%;10.5%;;;;15.8%;;;;;;;;15.8%;
;;;;;;Y10;14945;Wicks, Heather N.;;10.5%;15.8%;;21.1%;5.3%;21.1%;5.3%;10.5%;5.3%;;;;;5.3%;;;;;;;;;
;;;;;;Y11;20008;Wicks, Heather N.;23.5%;29.4%;;;5.9%;5.9%;11.8%;11.8%;5.9%;;5.9%;;;;;;;;;;;;;
;;;;;;Y12;20015;Wicks, Heather N.;36.8%;21.1%;5.3%;;21.1%;;15.8%;;;;;;;;;;;;;;;;;
;;10800;Accel First-Yr Compos;202420;Spring 2024;034;19154;Mercado, Jessica M.;6.3%;18.8%;6.3%;;;31.3%;18.8%;6.3%;;;;;;;;;;;;;;;12.5%;
;;;;;;036;19161;Rosell, Carla B.;15.8%;21.1%;;;10.5%;21.1%;15.8%;10.5%;;;;;;;;;;;;;;;5.3%;
;;;;;;037;19162;Rosell, Carla B.;5.6%;16.7%;5.6%;;22.2%;11.1%;16.7%;;5.6%;;;;5.6%;;;;;;;;;;11.1%;
;;;;;;039;20032;Shukle, Catherine J.;20.0%;15.0%;45.0%;;;;5.0%;;5.0%;;;;;;5.0%;;;;;;;;5.0%;
;;;;;;040;20033;Shukle, Catherine J.;20.0%;15.0%;40.0%;;10.0%;;;;;10.0%;;;;;;;;;;;;;5.0%;
;;;;;;041;20034;Weatherford, Jessica A.;22.2%;33.3%;;;5.6%;;33.3%;;;;;;;;;;;;;;;;5.6%;
;;;;;;042;20035;Weatherford, Jessica A.;42.1%;10.5%;;;15.8%;5.3%;21.1%;;;5.3%;;;;;;;;;;;;;;
;;;;;;043;20036;Weatherford, Jessica A.;20.0%;6.7%;6.7%;;20.0%;6.7%;20.0%;6.7%;;6.7%;;;6.7%;;;;;;;;;;;
;;;;;;044;20037;Mercado, Jessica M.;10.5%;15.8%;;;10.5%;10.5%;31.6%;5.3%;5.3%;;;;;;;;;;;;;;10.5%;
;;;;;;045;20045;Shukle, Catherine J.;11.8%;29.4%;35.3%;;5.9%;;5.9%;;;;5.9%;;;;;;;;;;;;5.9%;
;;;;;;046;20437;Weatherford, Jessica A.;38.9%;22.2%;;;22.2%;5.6%;5.6%;;;;5.6%;;;;;;;;;;;;;
;;;;;;047;20438;Mercado, Jessica M.;15.8%;15.8%;;;10.5%;10.5%;31.6%;;10.5%;;;;;;;;;;;;;;5.3%;
;;;;;;048;21642;Rosell, Carla B.;10.5%;26.3%;;;15.8%;10.5%;26.3%;5.3%;;;;;;;;;;;;;;;5.3%;
;;;;;;049;16596;Shukle, Catherine J.;15.0%;15.0%;45.0%;;5.0%;;5.0%;;5.0%;;;;;;10.0%;;;;;;;;;
;;;;;;050;16599;Daniel, Thomas E.;38.9%;16.7%;11.1%;;11.1%;;16.7%;5.6%;;;;;;;;;;;;;;;;
;;;;;;051;16602;Rosell, Carla B.;16.7%;16.7%;;;5.6%;16.7%;16.7%;;;11.1%;;;;;;;;;;;;;16.7%;
;;;;;;052;16615;Baumgartner, Jacob W.;41.2%;;29.4%;;17.6%;;;;;5.9%;;;;;;;;;;;;;5.9%;
;;;;;;053;16620;Mercado, Jessica M.;22.2%;22.2%;;;27.8%;5.6%;16.7%;;;;;;;;;;;;;;;;5.6%;
;;;;;;054;21896;Jones, Beth A.;26.3%;15.8%;;;15.8%;;31.6%;;;5.3%;;;;;5.3%;;;;;;;;;
;;;;;;055;21915;Jones, Beth A.;10.0%;25.0%;5.0%;;10.0%;5.0%;25.0%;;;10.0%;;;;;5.0%;;;;;;;;5.0%;
;;;;;;056;21916;Jones, Beth A.;31.6%;21.1%;;;5.3%;;21.1%;;;5.3%;;5.3%;5.3%;;5.3%;;;;;;;;;
;;11000;Am Lang&Cultur Intl I;202420;Spring 2024;001;14905;Rezaee, Parvaneh;77.8%;;;;;;;;;;;;;;11.1%;;;;;;;;11.1%;
;;;;;;002;14906;Rezaee, Parvaneh;81.3%;;;;6.3%;;6.3%;;;;;;;;6.3%;;;;;;;;;
;;;;;;003;14907;Bras, Heejeon K.;50.0%;12.5%;18.8%;;;;;;;;;;;;12.5%;;;;;;;;6.3%;
;;;;;;004;29550;Bras, Heejeon K.;64.3%;;;;;;28.6%;;;;;;;;;;;;;;;;7.1%;
;;11100;Am Lang & Culture Intl II;202420;Spring 2024;007;10125;Li, Haiyan;81.3%;6.3%;;;;;6.3%;6.3%;;;;;;;;;;;;;;;;
;;;;;;008;10127;Li, Haiyan;82.4%;11.8%;;;;;;;;;5.9%;;;;;;;;;;;;;
;;;;;;032;24343;Kim, Minsun;28.6%;28.6%;7.1%;;21.4%;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;033;15372;Bush, Deborah H.;38.5%;30.8%;;;15.4%;;;;;;7.7%;;;;;;;;;;;;7.7%;
;;;;;;035;15377;Pimenova, Nadezda;66.7%;26.7%;;;6.7%;;;;;;;;;;;;;;;;;;;
;;;;;;039;15381;Brown, Charles A.;68.8%;12.5%;;;6.3%;6.3%;6.3%;;;;;;;;;;;;;;;;;
;;;;;;040;15382;Spears, Jacob R.;50.0%;21.4%;;;14.3%;;7.1%;;7.1%;;;;;;;;;;;;;;;
;;;;;;042;15384;Moriarty, Stephen W.;70.6%;5.9%;11.8%;;11.8%;;;;;;;;;;;;;;;;;;;
;;;;;;043;15385;Moriarty, Stephen W.;68.8%;6.3%;25.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;044;15393;Goodrich, Negin H.;38.5%;15.4%;23.1%;;23.1%;;;;;;;;;;;;;;;;;;;
;;;;;;045;15394;Goodrich, Negin H.;35.3%;11.8%;23.5%;;5.9%;;11.8%;;;;;;;;11.8%;;;;;;;;;
;;20200;Engaging English;202420;Spring 2024;002;19077;Schneider, Paul R.;25.0%;16.7%;4.2%;;12.5%;8.3%;25.0%;;4.2%;;;;;;4.2%;;;;;;;;;
;;;;;;003;18329;Johnston, Michael R.;18.2%;13.6%;;;22.7%;4.5%;13.6%;;4.5%;;;;4.5%;;9.1%;;;;;;;;9.1%;
;;;Engaging English-Honors;202420;Spring 2024;002;19077;Schneider, Paul R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20300;Research Prof Writ;202420;Spring 2024;SC1;26139;McCormick, Deanna T.;35.3%;17.6%;23.5%;;17.6%;;;;;;;;;;;;;;;;;;5.9%;
;;;Research Prof Writ-Honors;202420;Spring 2024;SC1;26139;McCormick, Deanna T.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;20400;Science Fiction Writing;202420;Spring 2024;001;25342;Gray, Casey M.;64.7%;11.8%;;;11.8%;;5.9%;;;;;;;;5.9%;;;;;;;;;
;;20500;Intro Creative Writing;202420;Spring 2024;001;18837;Brewer, Joshua A.;27.8%;16.7%;33.3%;;5.6%;5.6%;5.6%;;;;;;;;;;;;;;;;5.6%;
;;;;;;002;18839;Gray, Casey M.;55.6%;11.1%;;;11.1%;;;;;;;;;;5.6%;;;5.6%;;;;;11.1%;
;;;;;;003;18841;Gholamzadeh Bazarbash, Monir;27.8%;16.7%;38.9%;;5.6%;11.1%;;;;;;;;;;;;;;;;;;
;;;;;;004;18843;Gray, Casey M.;77.8%;;;;5.6%;;;5.6%;;;;;;;5.6%;;;;;;;;5.6%;
;;;;;;005;18840;Brewer, Joshua A.;29.4%;11.8%;41.2%;;;;;;;5.9%;;;;;5.9%;;;;;;;;5.9%;
;;;;;;006;18838;Gholamzadeh Bazarbash, Monir;35.3%;11.8%;47.1%;;;;;;;;;;;;;;;;;;;;5.9%;
;;;;;;007;25194;Sakr, Aiya Y.;;5.9%;41.2%;;11.8%;11.8%;17.6%;;;;;;;;;11.8%;;;;;;;;
;;;;;;009;23920;Sakr, Aiya Y.;;6.3%;62.5%;;;18.8%;;6.3%;;;;;;;;6.3%;;;;;;;;
;;;;;;010;23927;Ahuja, Kanika;21.1%;15.8%;47.4%;;;;5.3%;;;10.5%;;;;;;;;;;;;;;
;;;;;;011;15989;O'Donoghue, Kate M.;15.8%;;78.9%;;;;;;;;;;;;;;;;;;;;5.3%;
;;;;;;012;15990;O'Donoghue, Kate M.;5.6%;22.2%;66.7%;;5.6%;;;;;;;;;;;;;;;;;;;
;;;;;;013;16633;Fraterrigo, Melissa A.;35.3%;23.5%;;;5.9%;5.9%;11.8%;;;5.9%;;;;;;;;;;;;;11.8%;
;;;;;;014;16636;Fraterrigo, Melissa A.;16.7%;16.7%;;;5.6%;11.1%;;11.1%;;11.1%;;;11.1%;;11.1%;;;;;;;;5.6%;
;;;Intro Creative Writing-Honors;202420;Spring 2024;005;18840;Brewer, Joshua A.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;007;25194;Sakr, Aiya Y.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;21500;Inventing Languages;202420;Spring 2024;001;24708;Francis, Elaine J.;27.8%;11.1%;27.8%;;5.6%;;5.6%;5.6%;;;;;;;5.6%;;;;;;;;11.1%;
;;21700;Myth & Legend I: Monsters;202420;Spring 2024;001;10281;Hughes, Shaun F.;41.9%;18.9%;20.3%;;;8.1%;2.7%;;;;;;;;1.4%;;;;;;;;6.8%;
;;;Myth&Legend I: Monsters-Honors;202420;Spring 2024;001;10281;Hughes, Shaun F.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;22700;Elements Linguistics;202420;Spring 2024;004;27585;Khodadadi, Golsa;18.2%;18.2%;18.2%;;27.3%;;18.2%;;;;;;;;;;;;;;;;;
;;;;;;005;27586;Opoku, Eunice;27.3%;;54.5%;;;;;;;;;;;;9.1%;;;;;;;;9.1%;
;;23000;Great Narrative Works;202420;Spring 2024;001;23966;Flory, Wendy S.;17.4%;21.7%;21.7%;;13.0%;;8.7%;;4.3%;;;;;;4.3%;;;;;;;;8.7%;
;;;Great Narrative Works-Honors;202420;Spring 2024;001;23966;Flory, Wendy S.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;23400;Literature And The Environment;202420;Spring 2024;001;25345;Friedman, Geraldine S.;23.8%;23.8%;4.8%;;14.3%;4.8%;;;;;;;;;4.8%;4.8%;;;;;;;19.0%;
;;23800;Intro To Fiction;202420;Spring 2024;003;16646;Morris, Daniel C.;66.7%;4.2%;12.5%;;4.2%;;4.2%;;;;;;;;;;;;;;;;8.3%;
;;;;;;004;23167;Plotnitsky, Arkady;35.0%;10.0%;;;15.0%;10.0%;5.0%;;;;;;;;5.0%;;;;;;;;20.0%;
;;24000;Brit Lit Thru 18 Ct;202420;Spring 2024;001;23972;Johnston, Michael R.;18.2%;18.2%;;;13.6%;4.5%;4.5%;4.5%;;13.6%;;4.5%;;;4.5%;;;;;;;;13.6%;
;;;Brit Lit Thru 18 Ct-Honors;202420;Spring 2024;001;23972;Johnston, Michael R.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;25000;Great American Books;202420;Spring 2024;002;16647;Morris, Daniel C.;66.7%;12.5%;8.3%;;4.2%;;;;;;;;;;;;;;;;;;8.3%;
;;26200;Greek Roman Classics;202420;Spring 2024;001;17692;Campbell, Charles S.;53.3%;6.7%;20.0%;;;;6.7%;6.7%;;;;;;;;;;6.7%;;;;;;
;;26400;Bible As Literature;202420;Spring 2024;001;15976;Duran, Angelica A.;11.1%;27.8%;11.1%;;16.7%;5.6%;5.6%;;;;;5.6%;;;;5.6%;;;;;;;11.1%;
;;26700;World Lit 1700 To Now;202420;Spring 2024;004;26143;Sun, Ching Jen;35.0%;35.0%;30.0%;;;;;;;;;;;;;;;;;;;;;
;;28600;The Movies;202420;Spring 2024;002;14958;White, Paul W.;32.6%;21.7%;15.2%;;8.7%;;6.5%;8.7%;;2.2%;2.2%;;;;2.2%;;;;;;;;;
;;;;;;004;16829;Anderson, Alexandra M.;40.0%;32.0%;20.0%;;;;4.0%;;;;;;;;;;;;;;;;4.0%;
;;30100;Ways Of Reading;202420;Spring 2024;002;23172;Plotnitsky, Arkady;9.1%;4.5%;4.5%;;50.0%;4.5%;18.2%;;;;;;;;4.5%;;;;;;;;4.5%;
;;30400;Advanced Composition;202420;Spring 2024;001;17924;Haynes, Linda E.;47.1%;17.6%;5.9%;;5.9%;5.9%;;5.9%;;;;;;;;;;;;;;;11.8%;
;;;;;;002;14959;Haynes, Linda E.;27.8%;33.3%;11.1%;;5.6%;;;5.6%;;;;;;;5.6%;5.6%;;;;;;;5.6%;
;;30600;Intro Profess Writing;202420;Spring 2024;001;59734;Salvo, Michael J.;19.0%;28.6%;23.8%;;;4.8%;9.5%;4.8%;;4.8%;;;;;;;;;;;;;4.8%;
;;30900;Digital Design And Production;202420;Spring 2024;001;18913;Berchtold, Jessica E.;45.0%;15.0%;15.0%;;15.0%;;;;5.0%;;;;;;;;;;;;;;5.0%;
;;31600;Craft Of Fiction;202420;Spring 2024;001;23873;Solwitz, Sharon D.;35.3%;29.4%;11.8%;;5.9%;11.8%;5.9%;;;;;;;;;;;;;;;;;
;;31700;Craft Of Poetry;202420;Spring 2024;001;16862;Sakr, Aiya Y.;;;87.5%;;;;;;;;;;;;12.5%;;;;;;;;;
;;32200;Word, Image, Media;202420;Spring 2024;001;16656;Lukasik, Christopher J.;28.0%;16.0%;12.0%;;8.0%;;20.0%;4.0%;;8.0%;;;;;4.0%;;;;;;;;;
;;33000;Games And Diversity;202420;Spring 2024;001;25350;Blackmon, Samantha;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;34400;Environ Ethics/Policy/Sustain;202420;Spring 2024;001;16655;Marzec, Robert P.;20.8%;29.2%;41.7%;;;;;;;;;;;;4.2%;4.2%;;;;;;;;
;;35100;American Literature After 1865;202420;Spring 2024;001;23996;Duvall, John N.;47.8%;8.7%;;;17.4%;;13.0%;;8.7%;;;;;;;;;;;;;;4.3%;
;;35200;Native American Lit;202420;Spring 2024;001;25351;Peterson, Nancy J.;4.2%;25.0%;16.7%;;12.5%;4.2%;16.7%;4.2%;;4.2%;;;;;4.2%;;;;;;;;8.3%;
;;35400;Asian American Lit;202420;Spring 2024;001;16089;Sagar, Aparajita;33.3%;23.8%;14.3%;;;9.5%;4.8%;;;;;;;;;4.8%;;;;;;;9.5%;
;;35800;Black Drama;202420;Spring 2024;001;16071;Schneider, Paul R.;22.7%;22.7%;4.5%;;18.2%;;9.1%;4.5%;;;;4.5%;;;;;;;;;;;13.6%;
;;35900;Black Women Writers;202420;Spring 2024;001;22557;Freeman Marshall, Jennifer L.;64.7%;5.9%;;;5.9%;;;11.8%;5.9%;;;;;;;;;;;;;;5.9%;
;;36000;Gender And Literature;202420;Spring 2024;001;17071;Friedman, Geraldine S.;40.0%;6.7%;;;20.0%;6.7%;;6.7%;;;;;;;6.7%;6.7%;;;;;;;6.7%;
;;36700;Detective Fiction;202420;Spring 2024;001;17016;Hughes, Shaun F.;58.3%;8.3%;25.0%;;;4.2%;;;;;;;;;;;;;;;;;4.2%;
;;;Detective Fiction-Honors;202420;Spring 2024;001;17016;Hughes, Shaun F.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;37300;Science Fict & Fantasy;202420;Spring 2024;001;14969;Daniel, Thomas E.;32.0%;12.0%;16.0%;;4.0%;8.0%;4.0%;8.0%;4.0%;;;4.0%;4.0%;;;;;;;;;;4.0%;
;;38000;Issues Rhetoric & Public Life;202420;Spring 2024;001;16663;Denny, Harry C.;45.5%;18.2%;9.1%;;;;9.1%;;;;;;;;18.2%;;;;;;;;;
;;39200;Young Adult Literature;202420;Spring 2024;001;18897;Lennon, Mary Ellen;16.7%;4.2%;33.3%;;4.2%;;16.7%;;4.2%;4.2%;4.2%;;;;;;;;;;;;12.5%;
;;39600;Games Writing, Writing Games;202420;Spring 2024;010;17083;Blackmon, Samantha;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;40600;Review Writing;202420;Spring 2024;001;14977;Rickert, Thomas J.;69.6%;4.3%;13.0%;;;4.3%;8.7%;;;;;;;;;;;;;;;;;
;;40700;Intermediate Poetry Writing;202420;Spring 2024;001;18937;Giannelli, Adam B.;70.6%;;;;;5.9%;5.9%;;5.9%;;;;;;5.9%;;;;;;;;5.9%;
;;;;;;002;25354;Giannelli, Adam B.;64.7%;;;;;11.8%;23.5%;;;;;;;;;;;;;;;;;
;;40900;Interm Fiction Writing -Honors;202420;Spring 2024;002;18941;Leung, Brian J.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Intermediate Fiction Writing;202420;Spring 2024;001;18940;Solwitz, Sharon D.;20.0%;33.3%;6.7%;;13.3%;13.3%;13.3%;;;;;;;;;;;;;;;;;
;;;;;;002;18941;Leung, Brian J.;80.0%;6.7%;;;;;6.7%;;;;;;;;;6.7%;;;;;;;;
;;41300;Cont Am Writers Re-Memory Past;202420;Spring 2024;001;16059;Peterson, Nancy J.;69.2%;15.4%;7.7%;;;;;;;;;;;;;;;;;;;;7.7%;
;;41400;Literature Of The Global South;202420;Spring 2024;001;16096;Sagar, Aparajita;50.0%;8.3%;33.3%;;;;;;;;;;;;;8.3%;;;;;;;;
;;41900;Multimedia Writing;202420;Spring 2024;001;18948;Barber, Christopher J.;26.3%;10.5%;52.6%;;;;5.3%;;;;;;;;;;;;;;;;5.3%;
;;;;;;002;18949;Barber, Christopher J.;42.1%;10.5%;31.6%;;15.8%;;;;;;;;;;;;;;;;;;;
;;;;;;003;16984;Beck, Robert S.;36.8%;10.5%;36.8%;;;5.3%;;;;;;;;;5.3%;;;;;;;;5.3%;
;;42000;Business Writing;202420;Spring 2024;024;24303;Hughes, Jennifer J.;89.5%;;;;5.3%;;;5.3%;;;;;;;;;;;;;;;;
;;;;;;025;24304;Wegener, Susan E.;25.0%;10.0%;50.0%;;10.0%;;;;;;;;;;;;;;;;;;5.0%;
;;;;;;026;24305;Wegener, Susan E.;10.5%;5.3%;68.4%;;5.3%;;;;;;;;;;5.3%;;;;;;;;5.3%;
;;;;;;027;23868;Defrench, Melissa K.;15.0%;5.0%;65.0%;;5.0%;5.0%;5.0%;;;;;;;;;;;;;;;;;
;;;;;;028;23874;Dilger, C B.;55.0%;5.0%;25.0%;;10.0%;;;;;5.0%;;;;;;;;;;;;;;
;;;;;;Y01;14980;Bailey, Rachael D.;31.6%;15.8%;;;15.8%;15.8%;10.5%;;;10.5%;;;;;;;;;;;;;;
;;;;;;Y02;14981;Bailey, Rachael D.;45.0%;25.0%;;;5.0%;;20.0%;5.0%;;;;;;;;;;;;;;;;
;;;;;;Y03;14983;Bailey, Rachael D.;40.0%;15.0%;;;15.0%;5.0%;15.0%;;;5.0%;;;;;;;;;;;;;5.0%;
;;;;;;Y04;14984;Bailey, Rachael D.;15.0%;25.0%;;;20.0%;5.0%;15.0%;;;10.0%;;;;;;;;;;;;;10.0%;
;;;;;;Y05;14985;Brewer, Joshua A.;15.8%;15.8%;47.4%;;5.3%;5.3%;5.3%;;;;;;;;;;;;;;;;5.3%;
;;;;;;Y06;14989;Brewer, Joshua A.;15.8%;10.5%;52.6%;;5.3%;5.3%;5.3%;;5.3%;;;;;;;;;;;;;;;
;;;;;;Y07;25197;Defrench, Melissa K.;40.0%;15.0%;45.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;Y08;25198;Dilger, C B.;55.6%;;16.7%;;16.7%;;5.6%;;;;;;;;;;;;;;;;5.6%;
;;;;;;Y09;25199;Defrench, Melissa K.;21.1%;5.3%;47.4%;;;;15.8%;;;;;;;;5.3%;;;;;;;;5.3%;
;;42100;Technical Writing;202420;Spring 2024;001;18998;Salvo, Michael J.;25.0%;5.0%;5.0%;;10.0%;;15.0%;20.0%;;;;;;;15.0%;;;;;;;;5.0%;
;;;;;;004;19001;Clark, Tracy L.;16.7%;22.2%;;;11.1%;5.6%;27.8%;11.1%;;;;;;;5.6%;;;;;;;;;
;;;;;;006;58127;Clark, Tracy L.;22.2%;44.4%;;;5.6%;;27.8%;;;;;;;;;;;;;;;;;
;;;;;;055;24333;Sullivan, Patricia A.;35.0%;15.0%;25.0%;;5.0%;;15.0%;;;;;;;;;;;;;;;;5.0%;
;;;;;;056;24338;Sullivan, Patricia A.;25.0%;55.0%;5.0%;;;;;;;;;;;;5.0%;;;;;;;;10.0%;
;;;;;;057;24728;McCormick, Deanna T.;42.9%;9.5%;33.3%;;;4.8%;;;;;4.8%;;;;;;;;;;;;4.8%;
;;;;;;Y01;25207;Clark, Tracy L.;10.0%;15.0%;;;20.0%;10.0%;25.0%;;;5.0%;;;;;10.0%;;;;;;;;5.0%;
;;;;;;Y02;25208;Clark, Tracy L.;20.0%;15.0%;;;25.0%;10.0%;10.0%;15.0%;;5.0%;;;;;;;;;;;;;;
;;;;;;Y03;25209;Lark, Jolene B.;38.9%;5.6%;55.6%;;;;;;;;;;;;;;;;;;;;;
;;;;;;Y04;25210;McCormick, Deanna T.;50.0%;15.0%;20.0%;;5.0%;;5.0%;;5.0%;;;;;;;;;;;;;;;
;;;;;;Y05;25211;McCormick, Deanna T.;70.0%;5.0%;20.0%;;;5.0%;;;;;;;;;;;;;;;;;;
;;42201;Wrtg Health Human Sciences;202420;Spring 2024;001;13527;Milliren, Kaden C.;84.2%;;;;;5.3%;;;;;;;;;5.3%;;;;;;;;5.3%;
;;;;;;002;17722;Milliren, Kaden C.;90.0%;5.0%;;;;;5.0%;;;;;;;;;;;;;;;;;
;;42400;Wrtg For High Tech Industries;202420;Spring 2024;001;17170;Defrench, Melissa K.;5.0%;5.0%;70.0%;;5.0%;10.0%;5.0%;;;;;;;;;;;;;;;;;
;;43300;Proposals And Grants;202420;Spring 2024;001;16657;Dilger, C B.;52.4%;;28.6%;;14.3%;;4.8%;;;;;;;;;;;;;;;;;
;;49200;Lit Secondary Schools;202420;Spring 2024;001;18898;Carpenter, Kelly J.;42.1%;21.1%;5.3%;;10.5%;5.3%;10.5%;;;5.3%;;;;;;;;;;;;;;
;;50700;Advanced Poetry Writing;202420;Spring 2024;001;14757;Platt, Donald O.;76.5%;5.9%;17.6%;;;;;;;;;;;;;;;;;;;;;
ENGR;ENGR-Engineering;10301;BIDC Intro To Manufacturing;202420;Spring 2024;001;21007;Swabey, Matthew A.;74.2%;;;;9.7%;;;6.5%;;;3.2%;;;;;;;;;;;;6.5%;
;;;Changing The World With Chips;202420;Spring 2024;016;15199;Tung, Chen Chin;82.4%;;;;10.3%;;;0.6%;;;2.4%;;;;0.6%;;;;;;;;3.6%;
;;;;;;018;27938;Tort, Joseph M.;74.3%;;;;9.5%;;;1.4%;;;1.4%;;;;;;;;;;;;13.5%;
;;;Comp Methods Of Data Sci Eng;202420;Spring 2024;LC1;15175;Brophy, Sean;13.7%;6.8%;71.2%;;2.7%;2.7%;;;;;;;;;;;;;;;;;2.7%;
;;;Engr And Public Service;202420;Spring 2024;021;16459;Tort, Joseph M.;60.0%;3.3%;23.3%;;;;;;;;;;;;;;;;;;;;13.3%;
;;;FYE Career Exploration;202420;Spring 2024;009;23968;Jones, Lisa W.;85.0%;;;;;;;;;;;;;;;;;;;;;;15.0%;
;;;Keys To Learning;202420;Spring 2024;020;10827;Melloch, Michael R.;29.4%;1.5%;60.3%;;;;2.9%;;;;;;;;1.5%;;;;;;;;4.4%;
;;;Pharma Careers & Drug Dvlpment;202420;Spring 2024;007;23950;Francis, Patrick M.;81.2%;;;1.0%;7.9%;;;4.0%;;;1.0%;;;;1.0%;;;;;;;;4.0%;
;;;Silicon Valley Tech Industry;202420;Spring 2024;011;27379;Francis, Patrick M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;13000;Transform Ideas To Innovations;202420;Spring 2024;001;23942;Mcfall, Gary T.;78.9%;;2.6%;;7.9%;;6.6%;1.3%;;2.6%;;;;;;;;;;;;;;
;;13100;Trans Ideas To Innovation I;202420;Spring 2024;001;63559;Morphew, Jason W.;53.4%;13.6%;;;3.4%;3.4%;4.5%;3.4%;5.7%;1.1%;3.4%;;;;2.3%;;;;;;;;5.7%;
;;13200;Trans Ideas To Innovation II;202420;Spring 2024;011;63528;Aguilar, Jeannete G.;37.5%;19.6%;;;10.7%;8.9%;5.4%;5.4%;1.8%;3.6%;1.8%;;;;;;;;;;;;5.4%;
;;;;;;012;63531;Aguilar, Jeannete G.;35.0%;20.8%;;;10.8%;3.3%;15.0%;2.5%;4.2%;4.2%;1.7%;;;;;;;;;;;;2.5%;
;;;;;;013;63532;Jesiek, Brent K.;31.9%;24.4%;;;10.1%;7.6%;12.6%;3.4%;;5.9%;;;;;;;;;;;;;4.2%;
;;;;;;014;63529;Galarza Tohen, Beatriz A.;21.7%;23.3%;;;15.8%;15.8%;16.7%;1.7%;;1.7%;;;;;1.7%;;;;;;;;1.7%;
;;;;;;015;15179;Galarza Tohen, Beatriz A.;31.4%;18.6%;;;9.8%;10.8%;6.9%;3.9%;4.9%;6.9%;2.0%;;;;2.9%;;;;;;;;2.0%;
;;;;;;024;15449;Shermadou, Amena S.;32.2%;19.5%;;;15.3%;5.1%;12.7%;2.5%;;5.1%;4.2%;;;;0.8%;;;;;;;;2.5%;
;;;;;;112;15186;Ohland, Matthew W.;26.1%;21.8%;;;10.1%;10.1%;17.6%;2.5%;3.4%;5.0%;0.8%;;;;0.8%;;;;;;;;1.7%;
;;;;;;113;14961;Zbib, Mohamad B.;28.6%;24.4%;;;10.1%;10.9%;15.1%;2.5%;4.2%;2.5%;;;;;;;;;;;;;1.7%;
;;;;;;115;10915;Loweth, Robert P.;29.7%;21.6%;;;7.2%;10.8%;13.5%;1.8%;1.8%;7.2%;0.9%;;;;1.8%;;;;;;;;3.6%;
;;;;;;122;15185;Li, Tiantian;26.1%;20.2%;;;11.8%;10.1%;12.6%;5.0%;2.5%;5.9%;0.8%;;;;0.8%;;;;;;;;4.2%;
;;;;;;124;15182;Mcfall, Gary T.;27.3%;19.1%;;;16.4%;7.3%;11.8%;3.6%;4.5%;4.5%;1.8%;;;;0.9%;;;;;;;;2.7%;
;;;;;;222;15189;Wible, Kathleen J.;21.8%;30.3%;;;11.8%;6.7%;10.1%;6.7%;2.5%;5.0%;2.5%;;;;0.8%;;;;;;;;1.7%;
;;;;;;223;15190;Wible, Kathleen J.;35.8%;25.8%;;;6.7%;11.7%;11.7%;0.8%;0.8%;4.2%;;;;;;;;;;;;;2.5%;
;;;;;;224;15193;Davis, Kirsten A.;19.3%;20.2%;;;15.6%;7.3%;11.9%;10.1%;5.5%;2.8%;1.8%;;;;1.8%;;;;;;;;3.7%;
;;;;;;LC1;15180;Brophy, Sean;49.3%;23.3%;;;13.7%;2.7%;6.8%;;1.4%;2.7%;;;;;;;;;;;;;;
;;;;;;SC1;15173;Aguilar, Jeannete G.;34.5%;20.2%;;;5.9%;9.2%;15.1%;1.7%;5.9%;2.5%;0.8%;;;;0.8%;;;;;;;;3.4%;
;;16200;Honors Intro To Phys & Engr II;202420;Spring 2024;H01;21127;Whalen, Timothy M.;42.2%;10.9%;;;26.6%;1.6%;10.9%;4.7%;;1.6%;;;;;;;;;;;;;1.6%;
;;;;;;H02;28571;Whalen, Timothy M.;50.0%;3.1%;;;25.0%;1.6%;12.5%;4.7%;;;1.6%;;;;;;;;;;;;1.6%;
;;;;;;H03;14385;Rahman, Md S.;48.4%;3.2%;3.2%;;25.8%;6.5%;6.5%;;;6.5%;;;;;;;;;;;;;;
;;;;;;H04;15543;Lyon, Joseph A.;48.4%;15.6%;;;17.2%;3.1%;9.4%;3.1%;;3.1%;;;;;;;;;;;;;;
;;;;;;H05;15546;Lyon, Joseph A.;45.3%;6.3%;;;29.7%;6.3%;6.3%;3.1%;;3.1%;;;;;;;;;;;;;;
