Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;WNG;10082;Poggie, Jonathan;13.2%;15.8%;57.9%;2.6%;;;7.9%;;;;;;;;2.6%;;;;;;;;;
;;51400;Intermediate Aerodyn;202420;Spring 2024;WNG;23904;Bane, Sally P.;30.4%;5.4%;30.4%;1.8%;7.1%;5.4%;7.1%;;1.8%;5.4%;1.8%;;;;1.8%;;;;;;;;1.8%;
;;51900;Hypersonic Aerothermo;202420;Spring 2024;001;16261;Schneider, Steven P.;12.5%;6.3%;6.3%;16.7%;18.8%;10.4%;16.7%;;;4.2%;;;;;;;;;;;;;8.3%;
;;52000;Exper Aerodynamics;202420;Spring 2024;011;10096;Jewell, Joseph S.;30.0%;35.0%;10.0%;;;;25.0%;;;;;;;;;;;;;;;;;
;;52100;Plasma Laboratory;202420;Spring 2024;002;19081;Shashurin, Alexey;37.5%;6.3%;50.0%;;;6.3%;;;;;;;;;;;;;;;;;;
;;52300;Introduction To Remote Sensing;202420;Spring 2024;001;22965;Garrison, James L.;6.7%;13.3%;53.3%;;;6.7%;;;;;;6.7%;;;;6.7%;;;;;;;6.7%;
;;;;;;WNG;18855;Garrison, James L.;8.5%;6.4%;40.4%;6.4%;4.3%;2.1%;8.5%;2.1%;2.1%;2.1%;;2.1%;2.1%;;2.1%;8.5%;;;;;;;2.1%;
;;53900;Adv Rocket Propulsion;202420;Spring 2024;001;22970;Canino, James V.;25.0%;12.5%;;6.3%;18.8%;18.8%;12.5%;;;;;;;;;;;;;;;;6.3%;
;;;;;;WNG;10110;Canino, James V.;35.6%;15.6%;8.9%;;11.1%;4.4%;17.8%;2.2%;;2.2%;;;;;;;;;;;;;2.2%;
;;55200;Nondes Eval Struct Mat;202420;Spring 2024;WNG;11566;Tallman, Tyler N.;11.6%;36.2%;1.4%;;10.1%;15.9%;20.3%;;2.9%;1.4%;;;;;;;;;;;;;;
;;55500;Mechan Composite Matls;202420;Spring 2024;WNG;10112;Yu, Wenbin;16.7%;23.3%;6.7%;3.3%;10.0%;6.7%;6.7%;3.3%;6.7%;3.3%;;;3.3%;;3.3%;;;;;;;;6.7%;
;;56000;System-Of-Sys Modeling & Anlys;202420;Spring 2024;OL1;28989;Guariniello, Cesare;35.0%;;5.0%;5.0%;35.0%;;;10.0%;;;5.0%;5.0%;;;;;;;;;;;;
